Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"04-07-2022","2,430","2,447","1.83","3","921","113","19","3","613"
"05-07-2022","2,111","831","0.62","0","948","56","0","0","202"
"06-07-2022","3,548","7,348","4.35","9","634","251","33","78","2,013"
"07-07-2022","2,109","2,394","1.74","0","871","103","0","0","386"
"08-07-2022","2,670","5,478","4.09","7","841","223","0","0","947"
"09-07-2022","3,583","6,324","3.67","3","532","233","50","74","2,093"
"10-07-2022","3,169","6,719","3.6","5","675","140","38","85","1,571"

Sleep
Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
"10-07-2022 1:01 am","10-07-2022 9:24 am","427","75","26","502","85","241","101"
"09-07-2022 1:33 am","09-07-2022 10:44 am","515","36","29","551","132","259","124"
"07-07-2022 11:57 pm","08-07-2022 6:14 am","320","56","18","376","68","199","53"
"06-07-2022 11:15 pm","07-07-2022 7:01 am","411","55","20","466","103","220","88"
"05-07-2022 11:39 pm","06-07-2022 7:03 am","388","56","17","444","102","195","91"
"04-07-2022 11:28 pm","05-07-2022 6:44 am","367","69","19","436","90","213","64"
"03-07-2022 11:53 pm","04-07-2022 6:17 am","330","54","19","384","56","224","50"

