Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"01-07-2022","1,796","0","0","0","1,440","0","0","0","0"
"02-07-2022","1,796","0","0","0","1,440","0","0","0","0"
"03-07-2022","1,796","0","0","0","1,440","0","0","0","0"
"04-07-2022","1,957","856","0.64","0","1,397","43","0","0","188"
"05-07-2022","4,132","18,297","13.67","17","480","459","89","37","2,939"
"06-07-2022","3,155","10,770","7.92","26","700","238","22","26","1,471"
"07-07-2022","3,705","15,205","11.25","18","643","323","51","47","2,194"
"08-07-2022","3,848","13,823","10.33","28","469","483","41","8","2,556"
"09-07-2022","4,049","14,403","10.53","15","497","353","119","31","2,753"
"10-07-2022","3,598","14,886","11.12","15","429","483","22","2","2,333"
"11-07-2022","3,435","13,509","9.97","23","511","371","14","34","2,026"
"12-07-2022","2,943","9,273","6.65","7","592","312","6","15","1,489"
"13-07-2022","560","0","0","0","449","0","0","0","0"

Sleep
Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
"11-07-2022 10:12 pm","12-07-2022 6:48 am","446","69","28","515","104","254","88"
"10-07-2022 10:06 pm","11-07-2022 6:37 am","460","50","19","510","118","267","75"
"09-07-2022 10:03 pm","10-07-2022 6:27 am","453","51","31","504","118","246","89"
"08-07-2022 11:18 pm","09-07-2022 6:39 am","371","69","11","440","83","247","41"
"07-07-2022 10:48 pm","08-07-2022 6:07 am","391","48","20","439","87","254","50"
"06-07-2022 11:16 pm","07-07-2022 5:32 am","324","52","23","376","48","221","55"
"05-07-2022 10:53 pm","06-07-2022 6:28 am","408","46","20","454","85","266","57"
"04-07-2022 11:29 pm","05-07-2022 5:44 am","329","46","13","375","59","225","45"

